order_id,customer_id,city,cuisine,order_value,delivery_time_min,rating,order_date,order_hour,day_of_week,month,month_num,is_repeat_customer
ORD000001,CUST02620,Hyderabad,Pizza,359.74,34,4.2,2024-05-05,11,Sunday,May,5,Repeat
ORD000002,CUST02234,Hyderabad,North Indian,414.23,33,3.7,2024-01-16,8,Tuesday,January,1,Repeat
ORD000003,CUST02466,Hyderabad,Biryani,530.03,43,3.4,2024-11-28,16,Thursday,November,11,Repeat
ORD000004,CUST01840,Delhi,Burger,283.91,30,3.6,2024-01-04,12,Thursday,January,1,Repeat
ORD000005,CUST01732,Bangalore,Biryani,402.99,16,3.1,2024-06-21,10,Friday,June,6,Repeat
ORD000006,CUST01471,Pune,Chinese,240.64,25,4.2,2024-01-23,18,Tuesday,January,1,Repeat
ORD000007,CUST01551,Hyderabad,South Indian,170.06,21,5.0,2024-11-17,15,Sunday,November,11,One-time
ORD000008,CUST00788,Delhi,Biryani,358.55,36,2.9,2024-04-26,11,Friday,April,4,Repeat
ORD000009,CUST00954,Pune,North Indian,259.17,36,3.1,2024-08-20,15,Tuesday,August,8,Repeat
ORD000010,CUST01517,Bangalore,Chinese,306.3,29,3.7,2024-12-25,20,Wednesday,December,12,Repeat
ORD000011,CUST02496,Delhi,North Indian,254.87,54,3.4,2024-05-05,14,Sunday,May,5,Repeat
ORD000012,CUST02622,Delhi,Biryani,279.52,43,2.9,2024-06-15,10,Saturday,June,6,Repeat
ORD000013,CUST00132,Chennai,North Indian,315.66,15,3.4,2024-02-03,13,Saturday,February,2,Repeat
ORD000014,CUST02685,Mumbai,Rolls,188.86,42,3.8,2024-11-25,21,Monday,November,11,Repeat
ORD000015,CUST01011,Chennai,North Indian,291.33,32,3.0,2024-10-26,22,Saturday,October,10,One-time
ORD000016,CUST00899,Ahmedabad,Biryani,311.61,30,4.5,2024-09-09,7,Monday,September,9,Repeat
ORD000017,CUST00450,Hyderabad,Biryani,412.64,17,4.4,2024-12-14,19,Saturday,December,12,Repeat
ORD000018,CUST01564,Delhi,North Indian,271.12,28,4.3,2024-05-08,10,Wednesday,May,5,Repeat
ORD000019,CUST02953,Hyderabad,Rolls,226.39,44,3.1,2024-05-16,15,Thursday,May,5,Repeat
ORD000020,CUST01203,Mumbai,North Indian,276.81,38,4.3,2024-05-14,12,Tuesday,May,5,One-time
ORD000021,CUST00436,Pune,South Indian,193.65,33,3.2,2024-11-23,20,Saturday,November,11,Repeat
ORD000022,CUST01532,Chennai,North Indian,210.28,43,4.5,2024-09-28,19,Saturday,September,9,Repeat
ORD000023,CUST02002,Hyderabad,Rolls,176.76,45,3.8,2024-06-06,12,Thursday,June,6,One-time
